Molecule ChEMBL ID,smiles,pIC50
CHEMBL484303,CCCN(CCC)c1ccc2nc3ccc(N(CCC)CCC)cc3[o+]c2c1.[Cl-],7.77
CHEMBL2371790,CC[C@@H]1NC(=O)[C@H]([C@H](O)/C(C)=C\CCCN=[N+]=[N-])N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O,4.98
CHEMBL2371791,CCC/C=C(/C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)CO)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,4.94
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,4.37
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,6.41
CHEMBL490157,CC(=O)OC[C@]1(C)CCC[C@]2(C)[C@H]3CCC(C=O)=C(C)[C@@H]3CC(=O)[C@@H]12,4.21
CHEMBL489291,N#Cc1c(-c2ccc(Cl)cc2)[n+]([O-])c2ccc(F)cc2[n+]1[O-],4.87
CHEMBL1172755,Brc1ccc2c(c1)C[C@H]1C[C@@H](c3ccccc3)N2O1,4.63
CHEMBL447430,N#Cc1c(-c2ccccc2)[n+]([O-])c2cc(Cl)c(Cl)cc2[n+]1[O-],4.82
CHEMBL1209350,N#Cc1c(-c2ccco2)[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],4.88
CHEMBL1209889,N#Cc1c(-c2ccco2)[n+]([O-])c2ccc(C(F)(F)F)cc2[n+]1[O-],4.90
CHEMBL127668,Cc1ccc(OCCSC#N)cc1,4.92
CHEMBL1091972,Brc1ccccc1/C=N/Nc1ncnc2sc3c(c12)CCCC3,5.03
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,5.42
CHEMBL379584,CC1(C)[N+]([O-])=c2ccc(C3OCCO3)cc2=[N+]1[O-],4.85
CHEMBL207421,CC1(C)[N+]([O-])=c2ccc(Br)cc2=[N+]1[O-],4.86
CHEMBL210898,COc1ccc2c(c1)=[N+]([O-])C(C)(C)[N+]=2[O-],4.77
CHEMBL197622,CCCC1(C/C=C(/C)CCC=C(C)C)C(=O)SC(C)C1=O,4.68
CHEMBL370442,CCCCCCCCCCC1(C)SC(=O)C(CCC)=C1OCCCCCCO,4.19
CHEMBL3143770,CC(C)(C)[Si](C)(C)O[C@H]1C[C@H](n2ccc(=O)[nH]c2=O)O[C@@H]1COP(=O)(Oc1ccccc1)Oc1ccccc1,5.00
CHEMBL520124,CN(C)c1ccc2nc3ccc(N4CCOCC4)cc3[o+]c2c1.[Cl-],5.30
CHEMBL577097,O=S(=O)(/C=C\c1ccc2no[n+]([O-])c2c1)c1ccc(Cl)cc1,5.89
CHEMBL570143,Cc1ccc(S(=O)(=O)/C=C\c2ccc3no[n+]([O-])c3c2)cc1,5.44
CHEMBL4462001,Cc1sc(N/N=C/CSc2ccccc2)nc1-c1ccc(Br)cc1,5.58
CHEMBL4097101,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3F)nc1)CC2,6.89
CHEMBL4065342,CC1(COc2ccc(-c3ccc(OC(F)(F)F)cc3)nc2)CCn2cc([N+](=O)[O-])nc2O1,6.60
CHEMBL4102218,CC1(COc2ccc(-c3ccc(F)nc3F)cn2)CCn2cc([N+](=O)[O-])nc2O1,6.37
CHEMBL4097858,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)nc3F)nc1)CC2,6.46
CHEMBL4103266,CC1(COc2cccc(-c3ccc(F)nc3)n2)CCn2cc([N+](=O)[O-])nc2O1,6.28
CHEMBL4065399,O=C(OCC1CCn2cc([N+](=O)[O-])nc2O1)N1CCN(c2ccc(F)cc2)CC1,5.82
CHEMBL4074012,O=[N+]([O-])c1cn2c(n1)OC(COC1CCN(c3ccc(F)cc3)CC1)CC2,6.66
CHEMBL604894,O=[N+]([O-])c1ccc2c(c1)c(OCc1ccccc1)nn2CCCN1CCCCCC1,4.98
CHEMBL594250,CCN(CC)CCn1nc(OCc2ccccc2)c2cc([N+](=O)[O-])ccc21,4.95
CHEMBL210898,COc1ccc2c(c1)=[N+]([O-])C(C)(C)[N+]=2[O-],4.54
CHEMBL406087,CCCCNCC(P(=O)(O)O)P(=O)(O)O,5.32
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,4.65
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.77
CHEMBL3329510,Clc1ccc(-c2csc(N/N=C/c3ccccn3)n2)cc1,5.42
CHEMBL3330184,Clc1ccc2c(c1)C[C@@H]1C[C@@H](c3ccc(Br)s3)N2O1,4.83
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,5.40
CHEMBL442811,Cc1cccc2c1CC/C2=N\NC(N)=S,5.40
CHEMBL467193,COc1ccc2c(c1)CC/C2=N\NC(N)=S,5.12
CHEMBL3330189,FC(F)(F)Oc1ccc2c(c1)C[C@@H]1C[C@@H](c3cccs3)N2O1,4.13
CHEMBL3330210,Cc1ccsc1[C@@H]1C[C@H](O)Cc2cc(Cl)ccc2N1,4.38
CHEMBL4081599,O=C(Nc1ccccc1OC(F)(F)F)O[C@H]1COc2nc([N+](=O)[O-])cn2C1,5.46
CHEMBL368186,Cn1c2c3ccccc3nc-2c(-c2ccccc2)c2ccccc21,6.47
CHEMBL340071,S=C=NCCOc1ccc(Oc2ccccc2)cc1,4.33
CHEMBL392855,COc1ccc(COc2c(OC)c(OC)cc3c2C(=O)[C@]2(OC)C=C[C@H]3N(C(=O)OCC(C)C)N2C(=O)OCC(C)C)cc1,5.01
CHEMBL400200,CCCCOc1c(OC)c(OC)cc2c1C(=O)[C@]1(OC)C=C[C@H]2N(C(=O)OCC(C)C)N1C(=O)OCC(C)C,4.63
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,5.06
CHEMBL235669,Fc1ccc(Oc2ccc(OCCOC3CCCCO3)cc2)cc1,4.84
CHEMBL38844,Brc1cc(Oc2ccccc2)ccc1OCCOC1C=CC=CO1,4.17
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,5.19
CHEMBL238646,C=CS(=O)(=O)Cc1ccc2c(c1)no[n+]2[O-],4.91
CHEMBL368103,Nc1ccccc1-c1c[nH]c2c3ccccc3nc-2c1,4.30
CHEMBL226536,[O-][n+]1onc2cc(/C=C\c3ccccc3)ccc21,5.05
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.68
CHEMBL403416,CCCCCCCCCCCCC/C=C1/CCC[C@@H]2[C@H]1N2Cc1ccccc1,4.51
CHEMBL254532,CCCCCCCCCCCCC/C=C1/CCC[C@H](O)[C@H]1NCCCCCC,6.57
CHEMBL290960,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,5.19
CHEMBL252748,C=CC(C#CC#CC(O)CCCCCCCCCCOC(C)=O)OC(C)=O,6.40
CHEMBL492414,C=CCOc1cc(OC)c(C(=O)/C=C/c2ccccn2)c(OCC=C)c1,5.72
CHEMBL521680,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccc2c(c1)OCO2,5.03
CHEMBL273096,Clc1ccc(CN2CCN(Cc3ccc(Cl)cc3)C2c2ccc(Cl)cc2)cc1,5.05
CHEMBL270888,COc1ccc(CNCCNCc2ccc(OC)cc2)cc1,4.79
CHEMBL225924,[O-][n+]1onc2cc(/C=C/C3CCCCC3)ccc21,4.87
CHEMBL173684,Cc1c2nc3ccccc3c-2[nH]c2ccccc12,5.33
CHEMBL253524,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)Oc1ccccc1,5.64
CHEMBL253525,O=C(N/N=C/C=C/c1ccc([N+](=O)[O-])o1)Oc1ccccc1,5.17
CHEMBL369473,C[n+]1cccc2[nH]c3ccccc3c21.O=S(=O)([O-])C(F)(F)F,4.00
CHEMBL176893,Clc1c2nc3ccccc3c-2[nH]c2ccccc12,4.30
CHEMBL432423,CSc1ccc2c(c1)cc1c3ccccc3nc-1n2C,5.40
CHEMBL39970,Clc1ccc(OCCOC2CCCCO2)c(Cl)c1,4.03
CHEMBL120919,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCOCC1,4.25
CHEMBL120919,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCOCC1,5.24
CHEMBL128963,N#CSCCOc1ccc([S+]([O-])c2ccccc2)cc1,4.23
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,5.96
CHEMBL1276198,CC1S/C(=N/N=C/CCSc2ccccc2)NC1=O,5.00
CHEMBL304666,CSc1cc(-c2ccc(-c3ccc(/N=C(\N)c4ccccn4)c(SC)c3)o2)ccc1/N=C(\N)c1ccccn1,6.82
CHEMBL128166,c1ccc(Oc2ccc(OCC3CN3)cc2)cc1,4.38
CHEMBL1862975,CC(=O)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,6.41
CHEMBL1863249,CCCCC(NCC1CCCCC1)c1cccnc1,6.35
CHEMBL128441,N#CSCCOc1ccccc1I,4.73
CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,5.41
CHEMBL38552,CCOC(=O)SCCOc1ccc(Oc2ccccc2)cc1,4.82
CHEMBL1491,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,5.09
CHEMBL366482,c1csc(-c2ccnc3c2[nH]c2ccccc23)c1,5.75
CHEMBL55810,CCCCCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,4.27
CHEMBL3319016,CCOC(=O)c1cc2c(n1CC)C(=O)C(Br)=CC2=O,6.28
CHEMBL1863075,CS(=O)(=O)c1ccc(N2CCC(NC(c3cccnc3)c3cnn(CC(F)(F)F)c3)CC2)cc1,5.38
CHEMBL1863185,CC(C)C(CO)N1CCC(NC(c2ccc(Cl)cc2)c2cccnc2)CC1,7.21
CHEMBL1712057,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,4.19
CHEMBL1863426,Cc1nc(C(=O)N2CCC(NC(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)cs1,6.49
CHEMBL1863500,CC(C)(C)C(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cncs2)CC1,7.47
CHEMBL1863440,Cc1cc(C(=O)NC2CCN(C(c3ccc(C#N)cc3)c3cccnc3)CC2)n(C(C)(C)C)n1,7.21
CHEMBL1862843,Cc1noc(C)c1C(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cncs2)CC1,6.85
CHEMBL1863316,CN(C)C(=O)NC1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,7.50
CHEMBL1863392,CC(C)(C)OC(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,7.82
CHEMBL1863389,CC(C)(C)OC(=O)NC1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,8.07
